date,description,amount,type,source,account,category,merchant
2025-01-21,UPI/Starbucks/Order,325.01,debit,UPI,HDFC Savings,Food & Dining,Starbucks
2025-01-21,UPI/Shell/Purchase,733.32,debit,UPI,SBI Savings,Miscellaneous,Shell
2025-01-21,UPI/Rapido/Pay,162.74,debit,UPI,SBI Savings,Travel,Rapido
2025-01-21,UPI/Blinkit/Purchase,154.72,debit,UPI,HDFC Savings,Food & Dining,Blinkit
2025-01-21,UPI/KFC/Order,54.27,debit,UPI,HDFC Savings,Food & Dining,KFC
2025-01-22,Vehicle Insurance - Bajaj Allianz,5200.0,debit,NEFT,HDFC Savings,Insurance,Bajaj Allianz
2025-01-22,UPI/Pay/Priya K,749.17,debit,UPI,HDFC Savings,Transfers,Priya K
2025-01-22,UPI/KFC/Quick Pay,416.24,debit,UPI,SBI Savings,Food & Dining,KFC
2025-01-22,UPI/Rapido/Pay,97.76,debit,UPI,SBI Savings,Travel,Rapido
2025-01-22,UPI/Swiggy Instamart/Quick Pay,884.64,debit,UPI,HDFC Savings,Food & Dining,Swiggy Instamart
2025-01-23,UPI/Swiggy Instamart/Food Order,553.57,debit,UPI,SBI Savings,Food & Dining,Swiggy Instamart
2025-01-23,UPI/Shell/Fuel,1325.28,debit,UPI,SBI Savings,Fuel,Shell
2025-01-23,UPI/Spencer's/Order,529.5,debit,UPI,HDFC Savings,Groceries,Spencer's
2025-01-23,UPI/UPI Misc 1/Order,83.17,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 1
2025-01-23,UPI/McDonald's/Quick Pay,476.45,debit,UPI,HDFC Savings,Food & Dining,McDonald's
2025-01-23,UPI/Reliance Fresh/Purchase,722.58,debit,UPI,HDFC Savings,Groceries,Reliance Fresh
2025-01-23,UPI/Subway/Order,372.1,debit,UPI,HDFC Savings,Food & Dining,Subway
2025-01-23,UPI/Dunzo/Order,208.23,debit,UPI,SBI Savings,Food & Dining,Dunzo
2025-01-23,UPI/Haldiram's/Quick Pay,253.63,debit,UPI,HDFC Savings,Food & Dining,Haldiram's
2025-01-23,UPI/Swiggy Instamart/Purchase,587.71,debit,UPI,SBI Savings,Food & Dining,Swiggy Instamart
2025-01-23,UPI/Starbucks/Pay,329.06,debit,UPI,HDFC Savings,Food & Dining,Starbucks
2025-01-23,UPI/Cafe Coffee Day/Quick Pay,189.15,debit,UPI,HDFC Savings,Food & Dining,Cafe Coffee Day
2025-01-24,UPI/More Supermarket/Grocery,647.29,debit,UPI,HDFC Savings,Groceries,More Supermarket
2025-01-24,UPI/Ola/Ride,291.34,debit,UPI,HDFC Savings,Travel,Ola
2025-01-24,UPI/Big Basket/Pay,707.15,debit,UPI,SBI Savings,Groceries,Big Basket
2025-01-24,UPI/Shell/Quick Pay,1516.58,debit,UPI,HDFC Savings,Miscellaneous,Shell
2025-01-24,UPI/KFC/Quick Pay,229.86,debit,UPI,HDFC Savings,Food & Dining,KFC
2025-01-24,UPI/Rapido/Quick Pay,227.04,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-24,UPI/Subway/Quick Pay,292.24,debit,UPI,SBI Savings,Food & Dining,Subway
2025-01-24,UPI/Subway/Purchase,292.55,debit,UPI,SBI Savings,Food & Dining,Subway
2025-01-25,UPI/Big Basket/Grocery,1899.71,debit,UPI,SBI Savings,Groceries,Big Basket
2025-01-25,Flipkart/Online Purchase,2780.24,debit,UPI,HDFC Savings,Shopping,Flipkart
2025-01-25,UPI/Haldiram's/Order,216.16,debit,UPI,SBI Savings,Food & Dining,Haldiram's
2025-01-25,UPI/UPI Misc 3/Order,95.42,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 3
2025-01-25,UPI/Indian Oil/Quick Pay,2937.93,debit,UPI,HDFC Savings,Miscellaneous,Indian Oil
2025-01-25,UPI/Ola/Pay,261.42,debit,UPI,SBI Savings,Travel,Ola
2025-01-25,UPI/UPI Misc 1/Quick Pay,273.82,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 1
2025-01-25,UPI/Ola/Pay,195.19,debit,UPI,SBI Savings,Travel,Ola
2025-01-26,Subscription/Spotify,119.0,debit,Credit Card,HDFC Credit Card,Entertainment,Spotify
2025-01-26,UPI/DMart/Purchase,800.0,debit,UPI,HDFC Savings,Groceries,DMart
2025-01-26,UPI/Subway/Quick Pay,79.9,debit,UPI,HDFC Savings,Food & Dining,Subway
2025-01-26,UPI/Swiggy Instamart/Purchase,811.35,debit,UPI,SBI Savings,Food & Dining,Swiggy Instamart
2025-01-26,UPI/Uber/Pay,80.1,debit,UPI,SBI Savings,Travel,Uber
2025-01-27,UPI/Spencer's/Quick Pay,562.85,debit,UPI,HDFC Savings,Groceries,Spencer's
2025-01-27,UPI/Rapido/Pay,163.78,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-27,UPI/Namma Yatri/Quick Pay,111.95,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-27,UPI/Reliance Fresh/Order,747.27,debit,UPI,HDFC Savings,Groceries,Reliance Fresh
2025-01-27,UPI/UPI Misc 4/Pay,264.6,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 4
2025-01-27,UPI/Ola/Quick Pay,307.62,debit,UPI,SBI Savings,Travel,Ola
2025-01-27,UPI/Namma Yatri/Purchase,160.58,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-28,UPI/Zomato/Quick Bite,56.06,debit,UPI,SBI Savings,Food & Dining,Zomato
2025-01-28,UPI/Rapido/Ride,91.55,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-28,Bill/BESCOM,1779.22,debit,UPI,SBI Savings,Utilities,BESCOM
2025-01-28,UPI/Pay/Vikram M,856.58,debit,UPI,HDFC Savings,Transfers,Vikram M
2025-01-28,UPI/DMart/Purchase,800.0,debit,UPI,SBI Savings,Groceries,DMart
2025-01-28,UPI/Ola/Quick Pay,324.03,debit,UPI,HDFC Savings,Travel,Ola
2025-01-28,UPI/Cafe Coffee Day/Order,296.55,debit,UPI,SBI Savings,Food & Dining,Cafe Coffee Day
2025-01-29,UPI/Rapido/Ride,134.67,debit,UPI,SBI Savings,Travel,Rapido
2025-01-29,UPI/Namma Yatri/Pay,139.5,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-29,UPI/UPI Misc 1/Order,73.26,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 1
2025-01-29,UPI/Haldiram's/Pay,394.95,debit,UPI,SBI Savings,Food & Dining,Haldiram's
2025-01-30,UPI/Received/Ankit J,1349.88,credit,UPI,SBI Savings,Transfers,Ankit J
2025-01-30,UPI/Namma Yatri/Pay,278.35,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-30,UPI/Haldiram's/Pay,164.82,debit,UPI,SBI Savings,Food & Dining,Haldiram's
2025-01-30,UPI/Haldiram's/Pay,45.44,debit,UPI,HDFC Savings,Food & Dining,Haldiram's
2025-01-30,UPI/Swiggy/Purchase,424.43,debit,UPI,SBI Savings,Food & Dining,Swiggy
2025-01-31,Bill/Airtel Mobile,552.72,debit,UPI,SBI Savings,Utilities,Airtel Mobile
2025-01-31,UPI/Rapido/Quick Pay,128.03,debit,UPI,SBI Savings,Travel,Rapido
2025-01-31,UPI/Namma Yatri/Order,132.76,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-31,UPI/Zomato/Order,125.06,debit,UPI,HDFC Savings,Food & Dining,Zomato
2025-01-31,UPI/Indian Oil/Order,2086.52,debit,UPI,SBI Savings,Miscellaneous,Indian Oil
2025-01-31,UPI/Starbucks/Quick Pay,422.54,debit,UPI,HDFC Savings,Food & Dining,Starbucks
2025-01-31,UPI/Spencer's/Quick Pay,384.03,debit,UPI,HDFC Savings,Groceries,Spencer's
2025-02-01,Salary Credit - TechCorp Solutions Pvt Ltd,200000.0,credit,NEFT,HDFC Savings,Salary,TechCorp Solutions
2025-02-01,Bill/Piped Gas (IGL),597.82,debit,UPI,SBI Savings,Utilities,Piped Gas (IGL)
2025-02-01,UPI/Pay/Vikram M,313.04,debit,UPI,HDFC Savings,Transfers,Vikram M
2025-02-01,UPI/Namma Yatri/Quick Pay,291.68,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-02-01,UPI/Namma Yatri/Order,285.54,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-02-01,UPI/Namma Yatri/Order,91.51,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-02-01,UPI/BPCL/Purchase,1016.62,debit,UPI,HDFC Savings,Miscellaneous,BPCL
2025-02-01,UPI/McDonald's/Order,170.22,debit,UPI,HDFC Savings,Food & Dining,McDonald's
2025-02-01,UPI/Namma Yatri/Pay,193.24,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-02-01,UPI/UPI Misc 2/Order,108.85,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 2
2025-02-02,Rent Payment - Prestige Residency,22000.0,debit,NEFT,HDFC Savings,Rent,Prestige Residency
2025-02-02,Tata Cliq/Online Purchase,3052.14,debit,Credit Card,HDFC Credit Card,Shopping,Tata Cliq
2025-02-02,UPI/KFC/Order,62.25,debit,UPI,SBI Savings,Food & Dining,KFC
